id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
4943,Boys,apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,output_images\4943.png
2288,Women,apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,output_images\2288.png
4988,Girls,apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,output_images\4988.png
4944,Boys,apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear,output_images\4944.png
2620,Men,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Men's Colors Team India T-shirt,output_images\2620.png
4986,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,ADIDAS Men Bayern Munchen Red Jersey,output_images\4986.png
4972,Boys,apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear,output_images\4972.png
5433,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Nike Men's Speed Fury Red T-shirt,output_images\5433.png
7532,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Encourage Blue T-shirt,output_images\7532.png
2272,Men,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Mens Blue Polo T-shirt,output_images\2272.png
2286,Men,apparel,Topwear,Sweatshirts,Black,Fall,2010.0,Sports,Nike Men Black Sweatshirt,output_images\2286.png
4975,Boys,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Gini and Jony Boy's Kent Pack of 3 Tee Kidswear,output_images\4975.png
2275,Men,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens Challenger Graphic White T-shirt,output_images\2275.png
7535,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Blue Polo T-shirt,output_images\7535.png
5434,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men's Kill Man Red T-shirt,output_images\5434.png
4310,Unisex_Kids,apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Tantra Kid's Unisex Papa's Joy Green Kidswear,output_images\4310.png
10007,Women,apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Trophy Swo White T-Shirts,output_images\10007.png
7561,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's As Spher White T-shirt,output_images\7561.png
4921,Girls,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Gini and Jony Girl's Viona Pack of 3 Tee Kidswear,output_images\4921.png
8378,Girls,apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Girl's Princess Lime Kidswear,output_images\8378.png
7566,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Nike Men's As Kobe Comic Black T-shirt,output_images\7566.png
4919,Women,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Veeya Pink Kidswear,output_images\4919.png
4317,Unisex_Kids,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Kid's Unisex Kya Boss Red Kidswear,output_images\4317.png
7559,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Nike Men's Black Polo T-shirt,output_images\7559.png
10669,Boys,apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Doodle Boy Road Trip Grey Tshirts,output_images\10669.png
4328,Unisex_Kids,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Kid's Unisex Cute Mom Red Kidswear,output_images\4328.png
4926,Girls,apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Gini and Jony Girl's Valencia Green Blue Infant Kidswear,output_images\4926.png
7550,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Teal Blue Polo T-shirt,output_images\7550.png
4321,Unisex_Kids,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Kid's Unisex Genius Red Kidswear,output_images\4321.png
8371,Girls,apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,output_images\8371.png
10009,Men,apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Town Round Red Neck T-Shirts,output_images\10009.png
4910,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Dionne Pink Teens Kidswear,output_images\4910.png
8385,Girls,apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Doodle Girl's Hippie Chic Orange Teen Kidswear,output_images\8385.png
4326,Unisex_Kids,apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Tantra Kid's Unisex Got It Pink Kidswear,output_images\4326.png
10031,Men,apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Nike Men As Arsenal Co Navy Blue T-Shirts,output_images\10031.png
4928,Girls,apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Gini and Jony Girl's Venice Green Blue Infant Kidswear,output_images\4928.png
8349,Boys,apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Boy's I love Driving Green Kidswear,output_images\8349.png
7557,Men,apparel,Bottomwear,Shorts,Green,Summer,2011.0,Sports,Nike Men's Tempo 5 Green Short,output_images\7557.png
8382,Girls,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Girl's Raw Edges Light Blue Kidswear,output_images\8382.png
4917,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Vollie Pink Kidswear,output_images\4917.png
4319,Unisex_Kids,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Free Spirit Turquoise Kidswear,output_images\4319.png
7568,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Nike Men's Black Polo T-shirt,output_images\7568.png
4980,Girls,apparel,Bottomwear,Shorts,Blue,Summer,2011.0,Casual,Palm Tree Girl's Benita Blue Kidswear,output_images\4980.png
4974,Boys,apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Infant Kidswear,output_images\4974.png
7534,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike men's As Nike Spher White Orange T-shirt,output_images\7534.png
2274,Men,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens AS White T-shirt,output_images\2274.png
5435,Men,apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's Encourage The Rookies Grey T-shirt,output_images\5435.png
2280,Women,apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Womens Sphere Pink T-shirt,output_images\2280.png
4973,Boys,apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Kidswear,output_images\4973.png
4987,Girls,apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Viveca White Floral Kidswear,output_images\4987.png
2287,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Nike Men White T-shirt,output_images\2287.png
5432,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Nike Men's Cruiser Run The City Blue T-shirt,output_images\5432.png
2273,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Mens Red Polo T-shirt,output_images\2273.png
7533,Men,apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Nike Men's As T90 Black Short,output_images\7533.png
4945,Boys,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaniel White Yellow Kidswear,output_images\4945.png
2621,Boys,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Men's Bleed blue India Colors T-shirt,output_images\2621.png
2619,Men,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens White Bleed Blue T-shirt,output_images\2619.png
4942,Boys,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Gini and Jony Boys Kane Red & White Kidswear,output_images\4942.png
2289,Women,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Women Blue T-shirt,output_images\2289.png
8348,Boys,apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Doodle Boy's Little Monsters Rocking Rust Kidswear,output_images\8348.png
7556,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Aqua Polo T-shirt,output_images\7556.png
10030,Women,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Women As See The Win Black T-Shirts,output_images\10030.png
4929,Girls,apparel,Bottomwear,Skirts,Blue,Summer,2011.0,Casual,Gini and Jony Girl's Vanida Blue Dungree Kidswear,output_images\4929.png
3330,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,RCB Mens Fangear Polo Jersey,output_images\3330.png
4327,Unisex_Kids,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Cute Mom Turqoise Kidswear,output_images\4327.png
7569,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's As Miler UV SS Blue T-shirt,output_images\7569.png
8383,Girls,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Girl's Raw Edges Light Blue Teen Kidswear,output_images\8383.png
4318,Men,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Tantra Kid's Men Kya Boss Orange Kidswear,output_images\4318.png
4916,Girls,apparel,Topwear,Tops,White,Summer,2011.0,Casual,Gini and Jony Girl's Vollie White Infant Kidswear,output_images\4916.png
4320,Unisex_Kids,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Tantra Kid's Unisex Good Morning Orange Kidswear,output_images\4320.png
7551,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's As Walkthrough White T-shirt,output_images\7551.png
10008,Men,apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Nike Men Town Navy Blue T-Shirts,output_images\10008.png
4911,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Dionne Pink Kidswear,output_images\4911.png
8384,Girls,apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Doodle Girl's Hippie Chic Orange Kidswear,output_images\8384.png
4316,Unisex_Kids,apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Tantra Kid's Unisex Play To Win Black Kidswear,output_images\4316.png
4918,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girls Vollie Pink Top,output_images\4918.png
8379,Girls,apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Girl's Princess Lime Green Top,output_images\8379.png
7567,Men,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Sports,Nike Men's As Sublimated Orange T-shirt,output_images\7567.png
4927,Girls,apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Gini and Jony Girl's Venice Green Blue Kidswear,output_images\4927.png
4329,Unisex_Kids,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Tantra Kid's Unisex Feeding Me Orange Kidswear,output_images\4329.png
7558,Men,apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's Sublimated Dark Grey T-shirt,output_images\7558.png
